Column,Label,Comment,Definition,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template
SEQN,Respondent sequence number,Respondent sequence number.,,sio:Identifier,??participant,,,,,,,,,
PEASCST1,Blood Pressure Status,Blood Pressure Status,,sio:StatusDescriptor,??bpm,,,,,,,,,
PEASCTM1,Blood Pressure Time in Seconds,Blood Pressure Time in Seconds,,sio:TimeInterval,??bpm,uo:0000010,,,,,,,,
PEASCCT1,Blood Pressure Comment,Blood Pressure Comment,,sio:Comment,??bpm,,,,,,,,,
BPXCHR,60 sec HR (30 sec HR * 2),60 sec HR (30 sec HR * 2),,cmo:0000002,??participant,,,,,,,,,
BPXPLS,60 sec. pulse (30 sec. pulse * 2),60 sec. pulse (30 sec. pulse * 2),,cmo:0000294,??participant,,,,,,,,,
BPXSY1,Systolic: Blood pres (1st rdg) mm Hg,Systolic:  Blood pressure (first reading) mm Hg,,cmo:0000004,??participant,uo:0000272,??first_reading,,,,,,,
BPXDI1,Diastolic: Blood pres (1st rdg) mm Hg,Diastolic:  Blood pressure (first reading) mm Hg,,cmo:0000005,??participant,uo:0000272,??first_reading,,,,,,,
BPAEN1,Enhancement used first reading,Enhancement used first reading,,ncit:C71607,??first_reading,,,,,,,,,
BPXSY2,Systolic: Blood pres (2nd rdg) mm Hg,Systolic:  Blood pressure (second reading) mm Hg,,cmo:0000004,??participant,uo:0000272,??second_reading,,,,,,,
BPXDI2,Diastolic: Blood pres (2nd rdg) mm Hg,Diastolic: Blood pressure (second reading) mm Hg,,cmo:0000005,??participant,uo:0000272,??second_reading,,,,,,,
BPAEN2,Enhancement used second reading,Enhancement used second reading,,ncit:C71607,??second_reading,,,,,,,,,
BPXSY3,Systolic: Blood pres (3rd rdg) mm Hg,Systolic:  Blood pressure (third reading) mm Hg,,cmo:0000004,??participant,uo:0000272,??third_reading,,,,,,,
BPXDI3,Diastolic: Blood pres (3rd rdg) mm Hg,Diastolic: Blood pressure (third reading) mm Hg,,cmo:0000005,??participant,uo:0000272,??third_reading,,,,,,,
BPAEN3,Enhancement used third reading,Enhancement used third reading,,ncit:C71607,??third_reading,,,,,,,,,
BPXSY4,Systolic: Blood pres (4th rdg) mm Hg,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,,cmo:0000004,??participant,uo:0000272,??fourth_reading,,,,,,,
BPXDI4,Diastolic: Blood pres (4th rdg) mm Hg,Diastolic: Blood pressure (fourth reading if necessary) mm Hg,,cmo:0000005,??participant,uo:0000272,??fourth_reading,,,,,,,
BPAEN4,Enhancement used fourth reading,Enhancement used fourth reading,,ncit:C71607,??fourth_reading,,,,,,,,,
??participant,Participant,,Someone who takes part in an activity. [def-source: NCI],,,,,"ncit:C29867, sio:Human",sio:SubjectRole,,,,,
??bpm,Blood Pressure Measurement,,"Measurement of the pressure, or force per area, exerted by circulating blood against the walls of the blood vessels. The pressure is dependent on the energy of the heart action, elasticity of the vessel walls and volume and viscosity of the blood. [def-source: CMO]",cmo:0000003,??participant,,,,,,,,,
??first_reading,First Reading,,A time internval is a contiguous temporal region having some duration. [def-source: SIO],sio:TimeInterval,??reading,,,,ncit:C25509,,??bpm,,,
??second_reading,Second Reading,,A time internval is a contiguous temporal region having some duration. [def-source: SIO],sio:TimeInterval,??reading,,,,ncit:C25666,,??bpm,,,
??third_reading,Third Reading,,A time internval is a contiguous temporal region having some duration. [def-source: SIO],sio:TimeInterval,??reading,,,,ncit:C25260,,??bpm,,,
??fourth_reading,Fourth Reading,,A time internval is a contiguous temporal region having some duration. [def-source: SIO],sio:TimeInterval,??reading,,,,ncit:C54566,,??bpm,,,
??reading,Reading,,A datum that is presented to a user by a meter or similar instrument. [def-source: NCI],,,,,ncit:C48356,,,,,,
