Column,Attribute,attributeOf,Format,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
T,"sio:Diameter, ncit:C120284",??tumor,,mm,,,,,,,,,,
N,sio:Count,??lymph_node,,,,,,,,,,,,
M,sio:StatusDescriptor,??metastasis,,,,,,,,,,,,
Stage 6,ncit:C90513,??tumor,,,,,,,,,,,,
Age at diagnosis,sio:Age,??subject,,,??diagnosis,,,,,,,,,
"Race recode (White, Black, Other)",sio:Race,??subject,,,,,,,,,,,,
Sex,sio:BiologicalSex,??subject,,,,,,,,,,,,
Vital status recode (study cutoff used),sio:LifeStatus,??subject,,,,,,,,,,,,
Month of diagnosis recode,sio:TimeInstant,??diagnosis,,xsd:gMonth,,,,,,,,,,
Year of diagnosis,sio:TimeInstant,??diagnosis,,xsd:gYear,,,,,,,,,,
Month of follow-up recode,sio:TimeInstant,??follow_up,,xsd:gMonth,,,,,,,,,,
Year of follow-up recode,sio:TimeInstant,??follow_up,,xsd:gYear,,,,,,,,,,
Grade,"ncit:C36041, ncit:C135461",??tumor,,,,,,,,,,,,
HER2,sio:StatusDescriptor,??her2_gene,,,,,,,,,,,,
ER,sio:StatusDescriptor,??er_gene,,,,,,,,,,,,
PR,sio:StatusDescriptor,??pr_gene,,,,,,,,,,,,
OncotypeDX,ncit:C116341,??subject,,,,,,,,,,,,
Name,sio:FirstName,??subject,,,,,,,,,,,,
??her2_gene,,,,,,ncit:C17756,,,??tumor,??subject,,,,
??er_gene,,,,,,"ncit:C38349, uniprot:P03372, ncit:C38361, pr:000007204",,,??tumor,??subject,,,,
??pr_gene,,,,,,"ncit:C28656, uniprot:P06401, ncit:C17075, pr:000012621",,,??tumor,??subject,,,,
??diagnosis,,,,,,sio:Diagnosis,,,??subject,,,,,
??subject,,,,,,sio:Human,sio:SubjectRole,,??study,,,,,
??study,,,,,,hasco:Study,,,,,,,,
??tumor,,,,,,"hp:0002664, ncit:C3262",,sio:isPartOf,??subject,,??cancer,,,
??follow_up,,,,,,ncit:C16033,,,??subject,,,,,
??lymph_node,,,,,,"uberon:0000029, ncit:C12745",,,??tumor,??subject,,,,
??cancer,,,,,,ncit:C9305,,,??subject,,,,,
??metastasis,,,,,,ncit:C19151,,,??tumor,,,,,
